,date,close,open,high,low,volume,pct,rd_zz,net_zz,cmi,keyprice,h_high,l_low,sellEasierDay,buyEasierDay,swingBuyPt,swingSellPt,atr,trendLokBuy,trendLokSell,swingUpTrigger,swingDnTrigger,band,upband,dnband,marketPosition,swingEntry,rd_strategy,net_strategy
30,43616,4912.0,4923.92,4969.05,4902.74,86.72K,-0.0029,0.011986435426118103,0.9972956071889744,3.029820530900918,4927.929999999999,5102.41,4662.78,False,True,4983.494304964723,4834.558542552916,119.14860992944537,4836.376666666666,4921.643333333333,4983.494304964723,4834.558542552916,4904.578333333334,5116.1072402363225,4693.049426430345,1,True,0.011986435426118103,1.011986435426118
31,43615,4926.4,4933.5,4933.85,4865.78,94.78K,-0.0061,0.00293159609120508,1.0002192750927856,14.746491367741035,4908.676666666666,5102.41,4662.78,True,False,5019.030561702376,4876.47962553175,114.0407489365009,4868.956666666666,4948.323333333333,5019.030561702376,4876.47962553175,4906.739333333333,5117.790657008278,4695.688009658388,1,True,0.00293159609120508,1.0149531709045658
32,43614,4956.86,4943.57,4992.99,4930.43,85.88K,0.0003,0.006183013965573192,1.0064036448393199,25.54648226918078,4960.093333333333,5102.41,4662.78,False,True,4998.217837021425,4861.598244467861,109.29567404285083,4899.650000000001,4965.296666666667,4998.217837021425,4861.598244467861,4910.482999999999,5120.972612104893,4699.993387895105,0,False,0.0,1.0149531709045658
33,43613,4955.49,4965.59,5002.25,4933.9,90.26K,-0.0015,-0.00027638464673196417,1.006125490323471,25.391806746582372,4963.88,5102.41,4662.78,False,True,5018.190553319283,4886.689170021075,105.20110663856579,4910.036666666666,4976.363333333334,5018.190553319283,4886.689170021075,4914.204,5123.795891293668,4704.612108706331,0,False,0.0,1.0149531709045658
34,43612,4962.95,4848.64,4974.27,4824.14,93.08K,0.025,0.0015054010804178564,1.00764011272364,18.499647430794056,4920.453333333334,5102.41,4662.78,True,False,4930.910496981032,4793.793002012646,109.69399597470922,4896.156666666667,4989.836666666667,4930.910496981032,4793.793002012646,4916.915,5126.854571162891,4706.975428837109,0,False,0.0,1.0149531709045658
35,43609,4841.76,4848.58,4892.46,4831.34,77.93K,-0.0064,-0.024418944377839757,0.9830346048581613,6.601005390896781,4855.186666666667,5102.41,4662.78,False,True,4904.522798188619,4764.6658027170715,111.88559637723827,4863.126666666667,4956.326666666667,4904.522798188619,4764.6658027170715,4915.947666666668,5126.993140545875,4704.902192787461,0,False,0.0,1.0149531709045658
36,43608,4872.92,4955.25,4957.99,4860.19,90.56K,-0.0208,0.0064356762830044545,0.9893610973500196,38.60974000864357,4897.033333333333,5102.41,4662.78,False,True,5011.410018369757,4871.009972445364,112.32003673951439,4838.556666666666,4941.573333333333,5011.410018369757,4871.009972445364,4910.2896666666675,5116.489057579714,4704.0902757536205,0,False,0.0,1.0149531709045658
37,43607,4976.39,5002.16,5018.11,4941.01,94.09K,-0.0067,0.021233675085985393,1.010368869433864,11.061574505834473,4978.503333333333,5102.41,4662.78,False,True,5059.963516532781,4915.454725200828,115.60703306556293,4877.513333333333,4956.186666666667,5059.963516532781,4915.454725200828,4908.668666666668,5111.979198135744,4705.358135197593,1,True,0.021233675085985393,1.036504356763044
38,43606,5009.87,4917.34,5026.28,4904.82,100.84K,0.0175,0.006727768522965416,1.0171663973102252,7.0172645178901245,4980.323333333333,5102.41,4662.78,True,False,5004.484247319255,4859.243835120496,116.19232975900664,4902.006666666667,5000.793333333332,5004.484247319255,4859.243835120496,4907.640333333335,5108.5669277890875,4706.713738877582,0,False,0.0,1.036504356763044
39,43605,4923.56,4937.18,4947.75,4835.81,95.69K,-0.0038,-0.017227991943902676,0.9996426628117561,36.5875850146713,4902.373333333334,5102.41,4662.78,True,False,5028.6643225873295,4876.190451608447,121.97909678310593,4893.88,4997.38,5028.6643225873295,4876.190451608447,4902.278666666668,5092.341715625712,4712.215617707624,0,False,0.0,1.036504356763044
